date,total_lettuce
2015-03-05,152
2015-03-06,100
2015-03-07,54
2015-03-08,199
2015-03-09,166
2015-03-10,143
2015-03-11,162
2015-03-12,116
2015-03-13,136
2015-03-14,68
2015-03-15,176
2015-03-16,181
2015-03-17,120
2015-03-18,141
2015-03-19,185
2015-03-20,118
2015-03-21,62
2015-03-22,152
2015-03-23,135
2015-03-24,180
2015-03-25,172
2015-03-26,180
2015-03-27,82
2015-03-28,96
2015-03-29,193
2015-03-30,209
2015-03-31,146
2015-04-01,189
2015-04-02,170
2015-04-03,94
2015-04-04,67
2015-04-05,182
2015-04-06,201
2015-04-07,186
2015-04-08,223
2015-04-09,187
2015-04-10,96
2015-04-11,70
2015-04-12,156
2015-04-13,220
2015-04-14,214
2015-04-15,160
2015-04-16,180
2015-04-17,114
2015-04-18,76
2015-04-19,194
2015-04-20,176
2015-04-21,141
2015-04-22,194
2015-04-23,153
2015-04-24,102
2015-04-25,128
2015-04-26,193
2015-04-27,185
2015-04-28,173
2015-04-29,169
2015-04-30,171
2015-05-01,95
2015-05-02,80
2015-05-03,137
2015-05-04,147
2015-05-05,163
2015-05-06,183
2015-05-07,165
2015-05-08,78
2015-05-09,88
2015-05-10,169
2015-05-11,172
2015-05-12,169
2015-05-13,160
2015-05-14,123
2015-05-15,76
2015-05-16,50
2015-05-17,147
2015-05-18,126
2015-05-19,159
2015-05-20,172
2015-05-21,162
2015-05-22,92
2015-05-23,79
2015-05-24,99
2015-05-25,125
2015-05-26,171
2015-05-27,182
2015-05-28,185
2015-05-29,98
2015-05-30,50
2015-05-31,151
2015-06-01,188
2015-06-02,148
2015-06-03,165
2015-06-04,167
2015-06-05,96
2015-06-06,86
2015-06-07,244
2015-06-08,173
2015-06-09,127
2015-06-10,124
2015-06-11,151
2015-06-12,134
2015-06-13,96
2015-06-14,138
2015-06-15,164
